epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5787,0.95622,0.60431,0.33571,0.82651,1.36804,1,0.98763,0.995,0.6846,1,0.98763,0.995,0.86695,1.31156,0.61046,0.04364,1.07235,1.57316,0.000662281,0.000662281,0.000662281
2,54.8839,0.99327,0.63552,0.32432,0.83722,1.41501,0.9782,0.9,0.96167,0.63556,0.9782,0.9,0.96167,0.81173,1.52724,0.72319,0.03776,1.36044,1.80034,0.00130702,0.00130702,0.00130702
3,81.3662,1.06083,0.61799,0.31922,0.91945,1.49303,0.9942,1,0.995,0.66001,0.9942,1,0.995,0.86449,1.41612,0.67882,0.04519,0.80636,1.77127,0.00192976,0.00192976,0.00192976
4,107.954,1.01338,0.67705,0.34258,0.8776,1.43149,0.99536,1,0.995,0.63165,0.99536,1,0.995,0.85649,1.49723,0.59291,0.04465,0.96661,1.87646,0.001901,0.001901,0.001901
5,134.211,1.03378,0.66255,0.32235,0.85579,1.42644,0.98575,1,0.995,0.62064,0.98575,1,0.995,0.86782,1.70932,0.69137,0.07372,1.05461,2.17471,0.001868,0.001868,0.001868
6,160.867,0.99179,0.64444,0.30778,0.8554,1.43274,0.85923,0.9,0.94833,0.51966,0.85923,0.9,0.94833,0.79749,1.73578,0.74416,0.04171,1.29478,2.04536,0.001835,0.001835,0.001835
7,187.66,1.04758,0.64405,0.30945,0.86509,1.45705,0.99034,1,0.995,0.64174,0.99034,1,0.995,0.8085,1.46113,0.7214,0.02784,1.0611,1.74661,0.001802,0.001802,0.001802
8,214.174,0.96423,0.64382,0.29366,0.81256,1.38973,0.98619,1,0.995,0.51565,0.98619,1,0.995,0.84479,2.04515,0.69385,0.06477,1.47627,2.24915,0.001769,0.001769,0.001769
9,240.676,0.99301,0.63777,0.30207,0.85478,1.42758,0.99037,1,0.995,0.46425,0.99037,1,0.995,0.854,2.24359,0.67691,0.02486,1.04064,2.5681,0.001736,0.001736,0.001736
10,267.318,1.00305,0.64041,0.30262,0.85953,1.41479,0.99301,1,0.995,0.63212,0.99301,1,0.995,0.89213,1.56083,0.59374,0.02323,0.91255,1.83732,0.001703,0.001703,0.001703
11,294.011,0.96181,0.59223,0.27314,0.83757,1.39623,1,0.84382,0.97192,0.63927,1,0.84382,0.97192,0.82375,1.38153,0.6234,0.03747,1.03338,1.65119,0.00167,0.00167,0.00167
12,320.464,0.94678,0.63254,0.28677,0.82321,1.39844,0.98688,1,0.995,0.61821,0.98688,1,0.995,0.87162,1.71314,0.71161,0.02686,0.92861,1.95816,0.001637,0.001637,0.001637
13,347.081,0.93526,0.58465,0.27041,0.79058,1.37209,1,0.99787,0.995,0.59617,1,0.99787,0.995,0.87646,1.60775,0.6095,0.01661,0.84048,2.02533,0.001604,0.001604,0.001604
14,373.404,0.97521,0.61849,0.28016,0.81926,1.41248,0.88729,1,0.96773,0.50181,0.88729,1,0.96773,0.82139,1.8224,0.65451,0.02649,1.35577,1.92304,0.001571,0.001571,0.001571
15,399.971,0.91833,0.56948,0.27319,0.75519,1.35406,0.98441,1,0.995,0.51579,0.98441,1,0.995,0.85834,1.77526,0.66371,0.0182,1.21726,2.1259,0.001538,0.001538,0.001538
16,426.213,0.91539,0.59037,0.26171,0.76753,1.37135,0.98436,1,0.995,0.63191,0.98436,1,0.995,0.88072,1.54705,0.65231,0.07001,1.46613,1.81849,0.001505,0.001505,0.001505
17,452.646,0.90244,0.58497,0.27735,0.75606,1.35819,0.98129,1,0.995,0.59792,0.98129,1,0.995,0.8585,1.6523,0.58491,0.02355,1.33919,1.98508,0.001472,0.001472,0.001472
18,479.031,0.89229,0.52393,0.2543,0.78309,1.35871,0.98126,1,0.995,0.66681,0.98126,1,0.995,0.88238,1.3759,0.5978,0.03543,0.82036,1.73734,0.001439,0.001439,0.001439
19,505.532,0.90984,0.55616,0.26768,0.73698,1.35052,0.99375,1,0.995,0.66785,0.99375,1,0.995,0.88212,1.36325,0.58939,0.03258,0.70468,1.62908,0.001406,0.001406,0.001406
20,532.02,0.89342,0.55386,0.25126,0.75388,1.34849,1,0.99675,0.995,0.63101,1,0.99675,0.995,0.87348,1.613,0.61206,0.03374,0.83573,1.89937,0.001373,0.001373,0.001373
21,558.318,0.88641,0.55395,0.25586,0.74047,1.35502,0.89398,1,0.98591,0.5213,0.89398,1,0.98591,0.87529,1.9294,0.59377,0.03335,0.97367,2.15637,0.00134,0.00134,0.00134
22,584.463,0.91602,0.51649,0.25747,0.76855,1.33214,0.98251,1,0.995,0.49732,0.98251,1,0.995,0.88972,1.88142,0.57473,0.03427,0.75356,2.42265,0.001307,0.001307,0.001307
23,610.981,0.87067,0.49547,0.23903,0.70957,1.30402,0.98199,1,0.995,0.59408,0.98199,1,0.995,0.86673,1.66725,0.59853,0.03859,0.95619,1.90887,0.001274,0.001274,0.001274
24,637.551,0.86003,0.55526,0.24719,0.72616,1.32476,0.99651,1,0.995,0.63686,0.99651,1,0.995,0.87,1.60229,0.70287,0.02923,0.9097,1.82682,0.001241,0.001241,0.001241
25,663.938,0.86646,0.54618,0.25061,0.70546,1.321,0.99172,1,0.995,0.63592,0.99172,1,0.995,0.91768,1.50204,0.56023,0.0176,0.69842,1.87332,0.001208,0.001208,0.001208
26,690.711,0.87957,0.53115,0.23144,0.71438,1.33561,0.99273,1,0.995,0.70962,0.99273,1,0.995,0.89535,1.20593,0.57663,0.01989,0.56619,1.49503,0.001175,0.001175,0.001175
27,717.278,0.86613,0.50904,0.23337,0.7091,1.31727,0.99797,1,0.995,0.61508,0.99797,1,0.995,0.84322,1.56093,0.63891,0.03589,0.77669,1.90891,0.001142,0.001142,0.001142
28,743.455,0.87237,0.50968,0.24057,0.70973,1.3168,0.99207,1,0.995,0.66283,0.99207,1,0.995,0.89494,1.37353,0.61871,0.02422,0.59506,1.7084,0.001109,0.001109,0.001109
29,772.357,0.84362,0.52121,0.24139,0.70997,1.30411,0.987,1,0.995,0.71653,0.987,1,0.995,0.87665,1.22324,0.58541,0.01192,0.75629,1.51119,0.001076,0.001076,0.001076
30,799.444,0.81322,0.49574,0.24377,0.68478,1.2878,0.99045,1,0.995,0.58757,0.99045,1,0.995,0.89454,1.60122,0.61323,0.0401,0.80614,1.92687,0.001043,0.001043,0.001043
31,826.271,0.82326,0.49794,0.22217,0.71023,1.31166,0.99013,1,0.995,0.64967,0.99013,1,0.995,0.84826,1.46551,0.71992,0.04505,0.81084,1.6839,0.00101,0.00101,0.00101
32,852.731,0.83375,0.53214,0.23668,0.70988,1.30108,0.98885,1,0.995,0.67048,0.98885,1,0.995,0.9334,1.33719,0.52427,0.03725,0.62256,1.59494,0.000977,0.000977,0.000977
33,879.043,0.80721,0.45547,0.23296,0.67628,1.31516,0.98688,1,0.995,0.69472,0.98688,1,0.995,0.91106,1.22487,0.45715,0.02798,0.63027,1.51527,0.000944,0.000944,0.000944
34,905.63,0.82433,0.45721,0.22364,0.67821,1.30345,0.98712,1,0.995,0.61549,0.98712,1,0.995,0.893,1.41537,0.47839,0.02842,0.86901,1.67157,0.000911,0.000911,0.000911
35,931.944,0.8677,0.46467,0.22545,0.72096,1.31741,0.9899,1,0.995,0.67467,0.9899,1,0.995,0.93002,1.26653,0.45547,0.02176,0.73295,1.54814,0.000878,0.000878,0.000878
36,958.12,0.8113,0.46207,0.22181,0.69828,1.27895,0.98453,1,0.995,0.62031,0.98453,1,0.995,0.93342,1.47775,0.45016,0.02819,0.89315,1.85004,0.000845,0.000845,0.000845
